Id,Time[ns],0:SPI: MISO data,0:SPI: MOSI data,Задержка  uS
468,1795645600,EE,0,9508
469,1805161350,0,29,19
470,1805187350,EE,0,9495
471,1814689350,0,29,19
472,1814715350,EE,0,9495
473,1824217350,0,29,19
474,1824243350,EE,0,9495
475,1833745350,0,29,19
476,1833771350,EE,0,9493
477,1843272100,0,29,19
478,1843298100,EE,0,9508
479,1852813850,0,29,19
480,1852839850,EE,0,9495
481,1862341850,0,29,19
482,1862367850,EE,0,9495
483,1871869850,0,29,19
484,1871895850,EE,0,9495
485,1881397850,0,29,19
486,1881423850,FE,0,9495
487,1890925850,0,29,19
488,1890951850,DC,0,9493
489,1900452600,0,29,19
490,1900478600,DC,0,9508
491,1909994400,0,29,19
492,1910020400,EE,0,9495
493,1919522400,0,29,19
494,1919548400,EE,0,9495
495,1929050400,0,29,19
496,1929076400,EE,0,9495
497,1938578400,0,29,19
498,1938604400,EE,0,9493
499,1948105150,0,29,19
500,1948131150,EE,0,9508
501,1957646900,0,29,19
502,1957672900,EE,0,9495
503,1967174900,0,29,19
504,1967200900,EE,0,9495
505,1976702900,0,29,19
506,1976728900,EE,0,9495
507,1986230900,0,29,19
508,1986256900,EE,0,9493
509,1995757650,0,29,19
510,1995783650,EE,0,9495
511,2005285650,0,29,19
512,2005311650,EE,0,9508
513,2014827400,0,29,19
514,2014853400,DC,0,9495
515,2024355400,0,29,19
516,2024381400,DC,0,9495
517,2033883400,0,29,19
518,2033909400,CC,0,9493
519,2043410200,0,29,19
520,2043436200,EE,0,9495
521,2052938200,0,29,19
522,2052964200,EE,0,9508
523,2062479950,0,29,19
524,2062505950,EE,0,9495
525,2072007950,0,29,19
526,2072033950,EE,0,9495
527,2081535950,0,29,19
528,2081561950,EE,0,9495
529,2091063950,0,29,19
530,2091089950,EE,0,9494
531,2100591200,0,29,19
532,2100617200,EE,0,9495
533,2110119200,0,29,19
534,2110145200,EE,0,9508
535,2119660950,0,29,19
536,2119686950,EE,0,9495
537,2129188950,0,29,19
538,2129214950,EE,0,9495
539,2138716950,0,29,19
540,2138742950,DC,0,9494
541,2148244200,0,29,19
542,2148270200,DC,0,9495
543,2157772200,0,29,19
544,2157798200,DC,0,9508
