Id,Time[ns],0:SPI: MISO data,0:SPI: MOSI data
895,3388991750,0,9
896,3389017750,28,0
897,3389359750,0,4
898,3389385000,0,51
899,3389420250,0,4
900,3389445500,0,33
901,3389480750,0,4
902,3389506000,0,30
903,3389541250,0,4
904,3389566500,0,23
905,3389600500,0,6
906,3389625750,0,50
907,3389656500,0,4
908,3389681750,0,23
909,3389711000,0,6
910,3389736250,0,60
911,3419401000,0,0F
912,3419427000,42,0
913,3419475250,0,9
914,3419501250,1B,0
915,3419556500,0,5
916,3419582500,50,0
917,3419637750,0,9
918,3419663750,0B,0
919,3419716500,0,5
920,3419742500,23,0
921,3419797750,0,9
922,3419823750,0B,0
923,3419876500,0,5
924,3419902500,23,0
925,3419957750,0,9
926,3419983750,0B,0
927,3420036500,0,5
928,3420062500,33,0
929,3420117750,0,9
930,3420143750,0B,0
931,3420196500,0,5
932,3420222500,30,0
933,3420277750,0,9
934,3420303750,0B,0
935,3420356500,0,5
936,3420382500,56,0
937,3420437750,0,9
938,3420463750,9,0
939,3420516500,0,5
940,3420542500,30,0
941,3420597750,0,9
942,3420623750,9,0
943,3420676500,0,5
944,3420702500,35,0
945,3420757750,0,9
946,3420783750,9,0
947,3420836500,0,5
948,3420862500,30,0
949,3420917750,0,9
950,3420943750,29,0
951,3420996750,0,5
952,3421022750,30,0
953,3421085500,0,9
954,3421111500,28,0
955,3421147500,0,6
956,3421172750,0,60
957,3520070950,0,29
958,3520096950,DC,0
959,3520636700,0,9
960,3520662700,D0,0
961,3521005700,0,4
962,3521030950,0,51
963,3521066200,0,4
964,3521091450,0,33
965,3521126700,0,4
966,3521151950,0,30
967,3521187200,0,4
968,3521212450,0,23
969,3521246450,0,6
970,3521271700,0,50
971,3521302450,0,4
972,3521327700,0,23
973,3521356950,0,6
974,3521382200,0,60
975,3529978950,0,29
976,3530004950,DC,0
977,3539549200,0,29
978,3539575200,DC,0
979,3545291700,0,0F
980,3545317700,84,0
981,3545365950,0,9
982,3545391950,36,0
983,3545447200,0,5
984,3545473200,A0,0
985,3545531450,0,9
986,3545557450,16,0
987,3545610200,0,5
988,3545636200,46,0
989,3545694450,0,9
